                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.47097,                0.46874,                 0.8985,                0.94064,                0.88469,                0.93522,                0.81691,                0.53161,                0.32071,                0.87198,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     88,                0.47694,                0.45506,                0.89938,                0.94451,                0.88493,                0.93437,                0.81434,                0.53473,                0.32003,                0.87357,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     89,                0.46507,                0.45329,                0.89583,                0.94924,                0.88311,                0.93512,                0.81803,                0.53222,                0.31858,                0.87212,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     90,                0.47653,                0.46245,                0.90009,                0.92521,                0.89837,                0.93306,                0.81378,                 0.5308,                0.31691,                0.87106,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     91,                0.46436,                0.29844,                0.85156,                0.93657,                0.89527,                0.93831,                0.81451,                0.52874,                0.31444,                0.87167,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     92,                0.46581,                0.29482,                0.84908,                0.94262,                0.89877,                0.93789,                0.81459,                0.53082,                 0.3122,                0.87188,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     93,                0.45731,                0.29281,                0.84515,                0.95432,                0.88499,                0.94074,                0.81899,                0.53232,                0.31175,                0.87401,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     94,                0.44777,                0.28542,                0.84758,                0.95667,                0.88696,                0.93668,                0.81781,                0.53113,                  0.311,                0.87275,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     95,                0.44795,                0.28771,                0.84276,                 0.9456,                0.88841,                0.93748,                0.81928,                0.53039,                0.30991,                0.87381,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     96,                0.45201,                0.28225,                0.84594,                0.94255,                0.89412,                0.93921,                0.82102,                0.52931,                0.30673,                0.87317,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     97,                0.44641,                0.28004,                0.84217,                0.95885,                0.88285,                0.93633,                0.81862,                0.52583,                0.30547,                0.87191,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     98,                0.44366,                0.27763,                0.84463,                0.95385,                 0.8828,                0.93906,                0.82102,                0.52836,                0.30501,                0.87232,              2.609e-05,              2.609e-05,              2.609e-05
                     99,                0.43831,                0.27187,                0.84675,                0.95465,                0.88282,                0.94078,                   0.82,                0.52835,                0.30344,                0.87187,             2.0882e-05,             2.0882e-05,             2.0882e-05
                    100,                 0.4384,                0.27155,                0.84523,                0.93129,                0.90049,                0.94025,                0.82131,                0.52576,                0.30318,                0.87242,             1.5675e-05,             1.5675e-05,             1.5675e-05
